epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/bib,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
19,219,3672.085205078125,3531.6533203125,3315.7841796875,-5.201860062697961e-07,2.4443624019622803,0.01238468661904335,0.013005727902054787,0.015539751388132572,0.4021259546279907,0.4599856436252594,0.44150134921073914,0.14688868820667267,0.15100790560245514,0.17015241086483002,,,,,,,,,,,,,,,
20,230,,,,,,,,,,,,,,,,,,0.6627411842346191,0.9032257795333862,0.9026581048965454,0.6782920956611633,0.7515151500701904,3.458695411682129,0.8943074345588684,0.6627411842346191,0.823981761932373,0.760606050491333,0.9655172228813171,0.8484848737716675
20,230,3665.5625,3569.85791015625,3263.573974609375,-6.935813416930614e-07,2.625596523284912,0.012928906828165054,0.012951347045600414,0.019079696387052536,0.4227069616317749,0.49121955037117004,0.4889494776725769,0.14970439672470093,0.15205107629299164,0.19720491766929626,,,,,,,,,,,,,,,
21,241,,,,,,,,,,,,,,,,,,0.5938867330551147,0.9032257795333862,0.8966354727745056,0.6704372763633728,0.7424242496490479,3.2894093990325928,0.9042797088623047,0.5938867330551147,0.7146448493003845,0.6848484873771667,0.9655172228813171,0.8484848737716675
21,241,3626.914794921875,3436.289794921875,3238.102294921875,-1.5605579619659693e-06,2.8460540771484375,0.015347841195762157,0.01595376990735531,0.020499587059020996,0.4521712362766266,0.5333877205848694,0.4980928301811218,0.17116215825080872,0.17489323019981384,0.2056427150964737,,,,,,,,,,,,,,,
22,249,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,
22,252,,,,,,,,,,,,,,,,,,0.6330313682556152,0.9032257795333862,0.9051932096481323,0.6617845892906189,0.739393949508667,3.297966957092285,0.9117517471313477,0.6330313682556152,0.7735784649848938,0.7212121486663818,0.9655172228813171,0.8484848737716675
22,252,3644.181884765625,3440.57958984375,3285.789794921875,-1.7339533542326535e-06,2.465015172958374,0.01268453523516655,0.012716015800833702,0.014563104137778282,0.41867735981941223,0.47368863224983215,0.463013619184494,0.14703230559825897,0.14621151983737946,0.16166478395462036,,,,,,,,,,,,,,,
23,263,,,,,,,,,,,,,,,,,,0.6829139590263367,0.9090909361839294,0.9159751534461975,0.6751952171325684,0.7545454502105713,3.3214662075042725,0.9258859157562256,0.6829139590263367,0.8273875713348389,0.7757575511932373,0.9090909361839294,0.9090909361839294
23,263,3582.755615234375,3392.977294921875,3099.5341796875,0.2949811816215515,2.5919747352600098,0.013109088875353336,0.013977638445794582,0.015104769729077816,0.41174107789993286,0.4804849922657013,0.467428594827652,0.16274504363536835,0.17050638794898987,0.1774296909570694,,,,,,,,,,,,,,,
